,Kanji,Number (KANJIDIC),Heisig RTK1/3,JIS,KanKen (Jun1=1.5) (Jun2=2.5),strokes,Kana,English
,角,331,1812,3351,9,7,カク    かど    つの    Name Readings:  い    す    すみ    ずみ    ふさ    ,"angle, corner, square, horn, antlers "
,言,784,335,3840,9,7,ゲン    ゴン    い.う    こと    Name Readings:  とき    ,say 
,計,713,337,3757,9,9,ケイ    はか.る    はか.らう    Name Readings:  え    かず    け    ,"plot, plan, scheme, measure "
,記,483,529,352D,9,10,キ    しる.す    Name Readings:  のり    ,"scribe, account, narrative "
,話,2949,344,4F43,9,13,ワ    はな.す    はなし    ,"tale, talk "
,語,828,347,386C,9,14,ゴ    かた.る    かた.らう    ,"word, speech, language "
,読,2109,348,4649,9,14,ドク    トク    トウ    よ.む    -よ.み    Name Readings:  よみ    ,read 
,谷,1797,788,432B,9,7,コク    たに    きわ.まる    Name Readings:  がい    がえ    がや    せ    たり    たん    や    ,valley 
,買,2229,831,4763,9,12,バイ    か.う    ,buy 
,走,1684,384,4176,9,7,ソウ    はし.る    Name Readings:  はしり    ,run 
,近,629,1129,3661,9,6,キン    コン    ちか.い    Name Readings:  おう    おお    この    ,"near, early, akin, tantamount "
,通,1924,1408,444C,9,9,ツウ    ツ    とお.る    とお.り    -とお.り    -どお.り    とお.す    とお.し    -どお.し    かよ.う    Name Readings:  とん    どうし    どおり    みち    ,"traffic, pass through, avenue, commute, counter for letters "
,週,1243,318,3D35,9,10,シュウ    ,week 
,道,2095,277,463B,9,11,ドウ    トウ    みち    Name Readings:  さ    じ    ど    みつ    ,"road-way, street, district, journey, course, moral, teachings "
,遠,177,402,3173,9,12,エン    オン    とお.い    Name Readings:  お    おに    ど    どお    ,"distant, far "
,里,2824,173,4E24,9,7,リ    さと    Name Readings:  さ    ,"ri, village, parent's home, league "
,野,2710,1596,4C6E,9,11,ヤ    ショ    の    の-    Name Readings:  ずけ    つけ    ぬ    ,"plains, field, rustic, civilian life "
